 # Time,   Mach,     alfa,     beta,     Cd,     CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
1.000e-02, 2.843e+00, 1.073e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-02, 2.778e+00, 2.122e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.000e-02, 2.724e+00, 3.047e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.000e-02, 2.662e+00, 4.198e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-02, 2.611e+00, 5.194e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
6.000e-02, 2.554e+00, 6.370e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
7.000e-02, 2.501e+00, 7.565e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
8.000e-02, 2.458e+00, 8.564e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
9.000e-02, 2.409e+00, 9.784e-04, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-01, 2.363e+00, 1.102e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.100e-01, 2.318e+00, 1.228e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.200e-01, 2.275e+00, 1.356e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.300e-01, 2.233e+00, 1.486e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.400e-01, 2.201e+00, 1.591e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-01, 2.162e+00, 1.725e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.600e-01, 2.125e+00, 1.861e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.700e-01, 2.089e+00, 1.999e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.800e-01, 2.054e+00, 2.140e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.900e-01, 2.021e+00, 2.282e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-01, 1.988e+00, 2.427e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.100e-01, 1.957e+00, 2.574e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.200e-01, 1.926e+00, 2.723e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.300e-01, 1.897e+00, 2.875e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.400e-01, 1.868e+00, 3.029e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.500e-01, 1.841e+00, 3.186e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.600e-01, 1.814e+00, 3.345e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.700e-01, 1.787e+00, 3.506e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.800e-01, 1.762e+00, 3.669e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.900e-01, 1.737e+00, 3.835e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.000e-01, 1.713e+00, 4.003e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.100e-01, 1.698e+00, 4.116e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.200e-01, 1.675e+00, 4.287e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.300e-01, 1.652e+00, 4.461e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.400e-01, 1.631e+00, 4.637e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.500e-01, 1.610e+00, 4.815e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.600e-01, 1.589e+00, 4.996e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.700e-01, 1.569e+00, 5.179e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.800e-01, 1.549e+00, 5.364e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.900e-01, 1.530e+00, 5.551e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.000e-01, 1.512e+00, 5.741e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.100e-01, 1.494e+00, 5.933e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.200e-01, 1.476e+00, 6.128e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.300e-01, 1.459e+00, 6.325e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.400e-01, 1.442e+00, 6.524e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.500e-01, 1.425e+00, 6.725e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.600e-01, 1.409e+00, 6.929e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.700e-01, 1.393e+00, 7.135e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.800e-01, 1.378e+00, 7.344e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.900e-01, 1.363e+00, 7.555e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-01, 1.348e+00, 7.768e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.100e-01, 1.333e+00, 7.983e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.200e-01, 1.319e+00, 8.201e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.300e-01, 1.305e+00, 8.421e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.400e-01, 1.292e+00, 8.644e-03, 0.000e+00, 3.000e-01, 0.000e+00, 0.000e+00, 0.000e+00
