# Time,     alpha,     beta,     V_inf,    u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX_body,    FY_body,    FZ_body  
1.000e-02, 0.000e+00, 0.000e+00, 9.750e+02, 9.750e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -2.341e+02, 0.000e+00, 0.000e+00
2.000e-02, 0.000e+00, 0.000e+00, 9.516e+02, 9.516e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -2.230e+02, 0.000e+00, 0.000e+00
3.000e-02, 0.000e+00, 0.000e+00, 9.291e+02, 9.291e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -2.126e+02, 0.000e+00, 0.000e+00
4.000e-02, 0.000e+00, 0.000e+00, 9.093e+02, 9.093e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -2.037e+02, 0.000e+00, 0.000e+00
5.000e-02, 0.000e+00, 0.000e+00, 8.878e+02, 8.878e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.942e+02, 0.000e+00, 0.000e+00
6.000e-02, 0.000e+00, 0.000e+00, 8.705e+02, 8.705e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.866e+02, 0.000e+00, 0.000e+00
7.000e-02, 0.000e+00, 0.000e+00, 8.524e+02, 8.524e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.795e+02, 0.000e+00, 0.000e+00
8.000e-02, 0.000e+00, 0.000e+00, 8.312e+02, 8.312e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.728e+02, 0.000e+00, 0.000e+00
9.000e-02, 0.000e+00, 0.000e+00, 8.136e+02, 8.136e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.672e+02, 0.000e+00, 0.000e+00
1.000e-01, 0.000e+00, 0.000e+00, 8.011e+02, 8.011e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.633e+02, 0.000e+00, 0.000e+00
1.100e-01, 0.000e+00, 0.000e+00, 7.846e+02, 7.846e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.580e+02, 0.000e+00, 0.000e+00
1.200e-01, 0.000e+00, 0.000e+00, 7.686e+02, 7.686e+02, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, -1.530e+02, 0.000e+00, 0.000e+00
